gene_symbol,read_count_CGctx1,read_count_CGctx2,read_count_CGctx3,read_count_CGhp1,read_count_CGhp2,read_count_CGhp3,read_count_PGctx1,read_count_PGctx2,read_count_PGctx3,read_count_PGhp1,read_count_PGhp2,read_count_PGhp3
Serpina3c,0,0,0,0,0,0.58,0,0,0,0,0,0
Slc38a9,448.86,485.22,454.24,478.47,470.49,473.42,598.83,602.49,635.92,442.76,408.58,464.21
Cnksr1,2,1,2,0,4,3,3,4,3,3,5,3
Gpkow,1531.95,1581.66,1454.86,1479.28,1521.34,1541.26,1583.92,1532.33,1513.39,1572.85,1478.72,1444.68
Snx20,17,14,16.99,16.99,10,7,21,13,14.35,4,3,7
Yipf5,1457.59,1485.86,1402.92,1515.97,1466.68,1456.58,1472.98,1558.85,1487.03,1523.58,1387.02,1427.79
Rpl31-ps12,6490.6,6381.36,7809.49,6398.2,5586.55,5858.93,6814.92,6590.49,6378.77,6099.12,5865.26,5879.27
Map4k2,324.95,352.03,342.92,346.86,353.95,373.99,313.14,346.88,324.34,353.05,376.9,332.7
Btbd11,284.92,331.35,298.93,269.82,268.26,312,227,273.24,245.46,322.02,308.04,312.33
Tafa3,1.99,4,1.41,0,0.95,0,0.74,2,2,0,1.65,1
Boll,0.93,4,3,1,3,2.99,4.96,3,2,4,2,5.99
Vmn2r15,0,1,1,0.03,0,0,0,0.49,0,0,0,0
Ccdc88a,3744.49,3796.5,3330.72,3909.68,3606.45,3788.57,3978.37,3950.51,4127.26,3742.71,3265.14,3318.9
S1pr5,3,2,4,8,5,4,4,2.89,2,6,9.01,7
Pdcd4,886.08,956.43,793.36,1041.28,1030.19,1093.74,1162.29,1131.78,1108.15,960.43,920.58,940.09
Ppp1r15b,4212.83,4236.9,3973.88,4207.27,4289.75,4218.32,4099.5,4088.51,4148.58,4202.57,4184.58,4112.42
Fam183b,5.76,1,2,3,4,5,2,1,3,5,2,4
Syt8,0,0,0,1,0,0,0,2,0,0,0,0
Pkd2,1682.24,1750.94,1457.66,1654.33,1622.92,1692.53,1738.95,1729.05,1797.24,1697.85,1559.02,1596.17
Usp39,1777.27,1832.71,1637.62,1719.39,1762.95,1776.73,1566.96,1582.95,1610.99,1711,1849.42,1813.86
Psap,14738.49,14646.05,15983.77,14094.33,14963.31,14171.19,15861.24,15806.28,15530.61,12491.61,13297.71,12964.28
Bhlha15,9.89,9.07,13.28,17.14,7.05,8.09,3.06,6.02,9.55,16.02,12.27,10.07
Lman1,1855.06,1839.27,1793.46,1843.91,1843.25,1934.88,1792.11,1777.59,1852.27,1868.73,1799.91,1749.86
Hpf1,1455.92,1425.38,1229.07,1358.16,1303.3,1337.97,1241.5,1332.55,1235.88,1458.71,1338.54,1287.93
Pcdhga12,794.73,682.2,774.87,620.48,684.5,630.77,577.32,579.65,467.78,692.24,652.13,683.49
Pcdh18,49.99,67.98,47,51.99,53.95,52.92,40.62,40.99,22.99,46.81,53.98,47
Gpd1l,2254.19,2088.42,2049.33,2238.15,2329.94,2242.47,2203.5,2134.46,2170.5,2285.66,2267.02,2188.03
Mkrn1,1024.34,1046.03,1131.71,1046.57,1009.1,1004.65,1249.9,1190.8,1263.86,1065.54,1066.83,1134.95
Mrps9,620.02,682.01,602.42,627.94,600.98,669.98,607.7,659.92,706.84,646.56,590.57,595.16
Vps18,769.77,745,840.85,802.19,743.11,775.64,771,768.34,766.98,726,799.98,768.88
Tsx,8,6,11,6.99,2,6,15,13,16,6.48,6,10
D6Ertd527e,11.48,17.73,18.75,33.37,22.09,17.52,20.61,24.33,13.7,16.62,17.96,9.78
Exo5,474.63,481.99,412.04,390.94,429.98,433.98,470.17,521.48,527.52,491.92,472.33,440.24
Apmap,1182.05,1130.21,1197.49,1186.07,1241.47,1136.7,1099.03,1089.64,1117.2,1093,1229.16,1185.91
Mien1,506.61,474.91,508.22,473.96,453.06,520.97,502.79,542,482.48,533.03,544,526.99
Gm46270,6.02,21.75,9.56,9.63,12.06,21.29,11.57,18.41,5.01,10.12,15.33,14.35
BC067074,7.02,6,8.96,8,12,6.91,7.99,7.99,4,12,10,12
Ttll11,46,35,42,41.94,53.03,56.99,41,53,54.9,70,59.97,59
Ugt3a1,0,1,0,1,0,0,0,0,0,0,0,0
Plin4,2,6,4,2,5,4,2,4,2,5,7,3
Erh,4894.37,4656.91,4998.54,4814.07,4442.48,4649.38,4890.57,4943.53,4822.79,4810.95,4512.02,4630.44
Pigb,212.18,255.79,223.65,224.28,192.17,227.63,220.33,225.96,210.02,199.92,211.18,216.76
Sec14l5,56.17,60.02,60.46,46.01,45.32,51,50.06,62.86,65.25,44.99,67.85,59
Ccdc142,138.35,148,192.09,143.57,143.81,153.89,167.28,147.35,149,159,160.67,143.96
Yjefn3,8,11,13,7,20,17.96,9,8,7,11,15.95,11
Tor4a,53.92,32.8,47.42,31.44,31.91,41.55,38.71,37.37,57.88,19.47,11.58,18.6
Snrpf,1317.01,1244.5,1228.3,1358.39,1141.16,1189.44,1254.82,1200.26,1155.26,1261.73,1113.26,1167.44
Bche,446.94,441.92,387.97,624.88,663.91,624.67,425.6,439.64,417.33,562.21,478.81,488.97
Kcnmb1,0,0,3.01,1.98,1.53,0,0,2.41,0,0,1.46,1.02
Dnah17,40.89,35.48,40.26,37.24,33.24,47.39,45.34,42.16,35.23,39.63,37.32,29.92
Smim31,0,1.6,0,1.95,1.3,0,0,0,1.06,1.12,0,0.41
Crh,0,2,3,0,0,0,2,2,0,0,0,0
H4c11,0,0,0,3.76,1.77,0,1.25,1.46,0,1.45,4.14,0
R3hdm2,2202.14,2203.12,2429.05,2270.65,2388,2431.55,2390.98,2365.75,2410.37,2279.35,2341.62,2316.4
Nsrp1,463.1,478.48,475.68,474.81,441.57,469.74,519.88,479.08,493.85,428.56,458.91,453.94
Mmp8,10.74,6,10,9,5,4,5,9.99,7,0,2,4
Acsbg1,2527.61,2599.51,2812.33,2286.34,2273.55,2317.97,2430.92,2373.37,2276.49,2188.13,2380.7,2450.32
Pdcd11,2002.56,2059.45,2233.68,1973.38,2054.44,2099.74,1902.84,1872.9,1915.09,2067.17,2138.49,2078.99
Tcerg1,3856.61,3714.92,3562.36,3926.52,3978.04,4109.77,3529.8,3580.48,3609.29,3759,3676.31,3686.1
Tshr,10.91,11,3.98,14.02,4.12,4,12,3.06,7.99,16,13.91,6
Ak8,1,0,0,1,2,3,2,5,0,0,0,1
Tnfsf11,0.99,0,1,0,0,0,1,0,0,0,0,0
Nkx1-1,0,0,2,0.94,0,0,0,0,0,1,1,1
B4galt7,294.88,340.34,314.46,289.78,289.94,291.15,360.03,302.25,346.47,279.8,329.51,308.42
Cdkn1c,75.97,84.99,69.43,114.99,104,101.93,70.99,95,93,105.37,99.99,102.99
Amh,10,7,13.99,6.96,8,9,6,9,3,7,9,7
Lgi1,8,5,2,20.98,17.97,16.99,5.81,9,1,20.33,10,12
Map3k8,23.93,19,9,13,14,12,15,8,9,17.99,9,8
